GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 970,-0.59%,12
NVIDIA GeForce GTX 960,-0.10%,12
NVIDIA GeForce GTX 750 Ti,+0.06%,12
NVIDIA GeForce GTX 1060,+0.58%,12
NVIDIA GeForce GTX 960M,+0.15%,12
NVIDIA GeForce GTX 1070,+0.17%,12
NVIDIA GeForce GT 720M,-0.02%,12
NVIDIA GeForce GT 730,+0.18%,12
NVIDIA GeForce GTX 760,-0.17%,12
NVIDIA GeForce GTX 650,-0.10%,12
NVIDIA GeForce GT 630,0.00%,12
NVIDIA GeForce GTX 750,-0.04%,12
NVIDIA GeForce GTX 950,+0.06%,12
NVIDIA GeForce GTX 660,-0.13%,12
NVIDIA GeForce GTX 950M,+0.08%,12
AMD Radeon HD 7900 Series,-0.13%,12
AMD Radeon HD 7700 Series,-0.03%,12
Intel HD Graphics 5500,+0.05%,12
NVIDIA GeForce GTX 1080,+0.03%,12
Intel HD Graphics 4600,-0.04%,12
AMD Radeon HD 8800 Series,-0.10%,12
NVIDIA GeForce 840M,-0.03%,12
AMD Radeon R7 Graphics,+0.18%,12
NVIDIA GeForce 940M,+0.06%,12
NVIDIA GeForce GTX 770,-0.11%,12
AMD Radeon HD 7800 Series,-0.05%,12
AMD Radeon R5 Graphics,+0.09%,12
NVIDIA GeForce GTX 980,-0.12%,12
NVIDIA GeForce GTX 980 Ti,-0.11%,12
NVIDIA GeForce GTX 550 Ti,-0.06%,12
NVIDIA GeForce 920M,+0.03%,12
Intel HD Graphics 520,+0.08%,12
NVIDIA GeForce GTX 860M,-0.02%,12
NVIDIA GeForce GT 740M,-0.07%,12
NVIDIA GeForce GTX 970M,-0.01%,12
AMD Radeon HD 8500 Series,+0.02%,12
AMD Radeon HD 8470D,+0.07%,12
NVIDIA GeForce GTS 450,0.00%,12
AMD Radeon RX 480,+0.11%,12
AMD Radeon R7 300 Series,+0.02%,12
AMD Radeon R9 200 Series,-0.05%,12
NVIDIA GeForce GT 610,+0.02%,12
NVIDIA GeForce GTX 850M,-0.04%,12
AMD Radeon R9 380 Series,-0.05%,12
NVIDIA GeForce GTX 650 Ti,-0.02%,12
Intel HD Graphics 530,+0.05%,12
NVIDIA GeForce GTX 1050 Ti,+0.31%,12
NVIDIA GeForce GT 740,+0.04%,12
Intel HD Graphics 4400,+0.03%,12
AMD Radeon R9 390 Series,-0.05%,12
NVIDIA GeForce GT 640,-0.04%,12
NVIDIA GeForce GT 430,+0.01%,12
Intel Iris Graphics 6100,-0.01%,12
NVIDIA GeForce GT 630M,-0.03%,12
Intel HD Graphics 6000,+0.02%,12
NVIDIA GeForce GT 750M,-0.02%,12
NVIDIA GeForce GTX 560 Ti,-0.03%,12
NVIDIA GeForce GTX 780,-0.03%,12
Intel HD Graphics 5000,-0.01%,12
AMD Radeon R7 200 Series,-0.02%,12
AMD Radeon HD 8370D,+0.02%,12
NVIDIA GeForce GT 440,-0.01%,12
NVIDIA GeForce GTX 670,-0.04%,12
NVIDIA GeForce GT 540M,-0.01%,12
NVIDIA GeForce GTX 660 Ti,-0.04%,12
NVIDIA GeForce GTX 980M,-0.01%,12
NVIDIA GeForce GTX 560,-0.01%,12
NVIDIA GeForce GT 650M,-0.02%,12
AMD Radeon R5 M330,+0.03%,12
AMD Radeon HD 8600 Series,-0.04%,12
AMD Radeon R4 Graphics,+0.02%,12
AMD Radeon HD 7480D,-0.01%,12
NVIDIA GeForce GTX 965M,+0.02%,12
NVIDIA GeForce GTX 745,-0.03%,12
NVIDIA GeForce 610M,-0.01%,12
AMD Radeon RX 460,+0.32%,12
NVIDIA GeForce GTX 1050,+0.30%,12
NVIDIA GeForce GTX 680,-0.03%,12
Other,-0.49%,12
